你好;nii hao;How are you?
早;tzao;Good morning!
好久不見;hao jeou bwu jiann;Long time no see!
加油;jia you;Go! Go!
謝謝;shieh .shie;Thank you!
再見;tzay jiann;Goodbye
是;shyh;Yes
不是;bwu shyh;No
對;duey;Right
不對;bwu duey;Wrong
有;yeou;Yes, I do (I have)
沒有;mei yeou;No, I don't (I don't have)
沒錯;mei tsuoh;Exactly
辛苦了;shin kuu .le;Thank you for the hard work
謝謝你的關心;shieh .shie nii .de guan shin;Thank you for caring.
你放心;nii fanq shin;Don't worry
我自己來;woo tzyh jii lai;I can do it by myself
對不起;duey buh chii;Sorry
請稍等;chiing shau deeng;Please wait a second
不好意思﹐讓你久等了;buh hao yih .sy , ranq nii jeou deeng .le;Sorry to keep you waiting
