中華民國;jong hwa min gwo;the Republic of China
中國;jong gwo;China
韓國;harn gwo;Korea
日本;ryh been;Japan
俄羅斯;eh luo sy;Russia
美國;meei gwo;U. S. A.
加拿大;jia na dah;Canada
墨西哥;moh shi ge;Mexico
巴西;ba shi;Brazil
挪威;nuo uei;Norway
芬蘭;fen lan;Finland
英國;ing gwo;England
法國;fah gwo;France
西班牙;shi ban ya; Spain
德國;der gwo;Germany
瑞士;ruey shyh;Switzerland
比利時;bii lih shyr;Belgium
義大利;yih dah lih;Italy
印度;yinn duh;India
埃及;ai jyi;Egypt
越南;yueh nan;Vietnam
泰國;tay gwo;Thailand
新加坡;shin jia po;Singapore
印尼;yinn ni;Indonesia
澳大利亞;aw dah lih yea;Australia
紐西蘭;neou shi lan;New Zealand
你是哪一國人﹖;nii shyh naa yih gwo ren ?;Which country are you from?
我是英國人。妳呢﹖;woo shyh ing gwo ren . nii .ne ?;I am British. How about you?
我來自法國。;woo lai tzyh fah gwo .;I am from France
他們是義大利人。;ta .men shyh yih dah lih ren .;They are Italian.
妳來中國多久了﹖;nii lai jong gwo duo jeou .le ?;How long have you been in China?
有一年多了;yeou yih nian duo .le;(I have been here) More than a year
我來沒多久。;woo lai mei duo jeou .;(I have been here) Not long.
很多事情還不懂;heen duo shyh chyng hair buh doong;many things I do not know
如果妳需要幫忙;ru guoo nii shiu yaw bang mang;If you need help
儘管來找我;jiin goan lai jao woo;Feel free (do not hesitate) to call me
那真是太好了﹗;nah jen shyh tay hao .le !;That's great!
認識你真的很開心;renn shyh nii jen .de heen kai shin;I'm very glad to meet you.
