沒關係;mei guan .shi;It's OK (no problem)
打擾一下;daa rao yi shiah;Can I bother you for a second?
請問;chiing wenn;Excuse me (may I ask?)
洗手間在哪?;shii shoou jian tzay naa ?;Where's the restroom?
我聽不懂;woo ting buh doong;I don't understand you
請說慢一點;chiing shuo mann yih dean;Please speak slowly
請再說一遍;chiing tzay shuo yi biann;Please say it again
想想辦法;sheang .sheang bann faa;Think about a solution
請你幫忙一下;chiing nii bang mang yi shiah;Please give me a hand
請多多指教;chiing duo duo jyy jiaw;Please let me know if there is anything I need to improve
我們是好朋友;woo .men shyh hao perng .iou;We are good friends
這個用中文怎麼說?;jeh .ge yonq jong wen tzeen .me shuo ?;How do you say this in Chinese?
你會說英文嗎?;nii huey shuo ing wen .ma ?;Do you speak English?
吃飽了嗎?;chy bao .le .ma ?;Are you full?
吃飯了沒?;chy fann .le mei ?;Have you eaten?
我作夢也沒想到;woo tzuoh menq yee mei sheang daw;It's beyond my imagination
對不起遲到了;duey buh chii chyr daw .le;Sorry I'm late
祝你各位有愉快的一天;juh nii geh wey yeou yu kuay .de yih tian;Have a nice day, everyone!
