I'm sorry;duey buh chii;對不起
I'm sorry for coming late;duey buh chii woo chyr daw .le;對不起我遲到了
Sorry for making you cry;baw chiann ranq nii ku .le;抱歉讓你哭了
Sorry for taking your time;baw chiann jann yonq nii .de shyr jian;抱歉佔用你的時間
I apologize for the inconvenience;woo duey yu tzaw cherng kuenn rao beau shyh chiann yih;我對於造成困擾表示歉意
We apologize for the delay;duey yu yan chyr yi shyh woo .men gaan daw baw chiann;對於延遲一事我們感到抱歉
I'm sorry for breaking the promise;duey buh chii woo mei yeou shoou cherng nuoh;對不起我沒有守承諾
I won't make this mistake again;woo bwu huey tzay fann .le;我不會再犯了
I won't do this again;woo bwu huey tzay jeh .me tzuoh .le;我不會再這麼做了
I'll never do this again;woo jyue duey bwu huey tzay jeh .me tzuoh .le;我絕對不會再這麼做了
I'll never let it happen again;woo bwu huey ranq torng yanq .de juanq kuanq tzay tsyh fa sheng;我不會讓同樣的狀況再次發生
It won't happen again;ta bwu huey tzay fa sheng .le;它不會再發生了
Sorry for not being with you;duey bwu chii buh neng hann nii tzay i chii;對不起不能和你在一起
I didn't mean it;woo bwu shyh guh yih .de;我不是故意的
I didn't mean to hurt you;woo bwu shyh guh yih yaw shang hay nii;我不是故意要傷害你
Please don't be mad at me;chiing bwu yaw sheng woo .de chih;請不要生我的氣
Please forgive me;chiing nii yuan lianq woo;請你原諒我
Excuse me;buh hao yih .sy;不好意思
Sorry for disturbing you;buh hao yih .sy, daa rao yi shiah;不好意思，打擾一下
I beg your pardon;bwu hao yih .sy, daa duann nii .men yi shiah;不好意思，打斷你們一下
Excuse me (please move and let me get past);jieh guoh;借過
It's okay;mei guan .shi;沒關係
Forget about it;suann .le;算了
Forget it;bye tzay yih;別在意
Don't worry;bwu yaw dan shin;不要擔心
Let bygones be bygones;guoh chiuh .le jiow suann .le;過去了就算了
